clientId,fullName,username,password,email,phone,streetAddress,city,state,postalCode,country,postalStreetAddress,postCity,postalState,postalPostalCode,postalCountry,poBoxAddress,outstandingBalance,transactionHistory,accountCreationDate,lastLoginDate,accountStatus
CL0027,Jessica Avila,baileybrenda,)kRRUih5%1,jamesrobinson@wright-allen.org,001-775-435-0256x625,69663 Williams Oval,New Maryfurt,Minnesota,56730,New Caledonia,69663 Williams Oval,New Maryfurt,Minnesota,56730,New Caledonia,,199.6,11 transactions,4/18/2021,11/16/2023,Active
CL0028,Mike Robles MD,aaron69,)8RemIR##q,deborah70@ortiz.biz,980-796-5984x133,3208 Castaneda Heights,Cooperborough,Kentucky,82841,Jamaica,3208 Castaneda Heights,Cooperborough,Kentucky,82841,Jamaica,PO Box 867,693.6,2 transactions,7/18/2021,5/20/2024,Suspended
CL0029,Sandra Hughes,mariereed,Mq36Hv7tP#,javier30@chen-jones.com,5026576551,767 Sean Pass Apt. 769,East Brandybury,Utah,85363,British Indian Ocean Territory (Chagos Archipelago),5333 Jones Street,South Matthewburgh,Colorado,68637,Benin,,492.88,6 transactions,5/16/2021,4/1/2023,Active
CL0030,Lee Goodwin,ayoung,_9#NLElSya,brandiblackburn@sanders.com,001-294-499-5287x00654,737 Todd Parkway,Juliashire,Missouri,76654,Zambia,39842 Smith Turnpike Apt. 384,Lake Meagan,Ohio,13295,Tuvalu,PO Box 273,747.93,17 transactions,7/7/2020,12/1/2023,Active
CL0031,Tammy Castillo,jimenezkrista,t4+J#FwS(l,carol04@valdez-hayes.com,001-964-490-1922x17138,620 Chavez Burgs,New Danielle,Minnesota,24866,Bouvet Island (Bouvetoya),84478 Booker Way Apt. 588,Lauramouth,Kansas,42935,Grenada,,44.4,11 transactions,8/13/2023,8/24/2024,Inactive
CL0032,Dawn Knight,hortoneddie,)Z55Rx)gWw,dmartin@hopkins.com,(118)210-2956x97949,454 Mitchell Row,Lake Susan,Maryland,42991,Iran,6242 Russell Junction,Hughestown,Utah,1302,Liechtenstein,PO Box 790,105.35,14 transactions,12/12/2020,5/12/2024,Suspended
CL0033,Sean Newman,ryanshah,^62S5_2cSg,michael70@hotmail.com,097-034-0862,3815 Bobby Drives Apt. 400,Chadborough,Massachusetts,91743,Bouvet Island (Bouvetoya),3815 Bobby Drives Apt. 400,Chadborough,Massachusetts,91743,Bouvet Island (Bouvetoya),PO Box 603,563.27,14 transactions,9/5/2023,7/27/2023,Inactive
CL0034,Sara Ortiz,smithpaul,$Bw(M4Mw14,zhaynes@hotmail.com,421.435.7129x41551,71513 Kristen Circles,Harmonberg,Georgia,30284,Benin,71513 Kristen Circles,Harmonberg,Georgia,30284,Benin,PO Box 616,770.25,7 transactions,2/27/2023,12/10/2024,Active
CL0035,Emma Spencer,tammymiller,%C%!2TnyVR,derek72@brown-caldwell.com,822.833.9628x96489,077 Anthony Meadows,East Michellebury,New York,48288,United Kingdom,077 Anthony Meadows,East Michellebury,New York,48288,United Kingdom,PO Box 287,532.46,20 transactions,6/28/2023,8/29/2024,Suspended
CL0036,Jonathan Garcia,briggsdenise,+A6Hz0Lx(i,whitneydavis@gmail.com,(820)604-2780,3165 Tyler Hill Suite 321,Harrisborough,New Mexico,74479,Puerto Rico,120 Bell Lake,Robertmouth,Mississippi,880,Timor-Leste,,173.99,2 transactions,2/6/2021,1/10/2024,Active
CL0037,Derrick Jenkins,pcook,+!Vb##2i!7,katherinebaker@yahoo.com,-6308,184 Matthew Circle,East Josephview,Maine,52879,Cape Verde,91969 Rodney Mountain Suite 063,Taylormouth,Minnesota,72452,Zambia,,482.28,7 transactions,4/19/2020,7/7/2023,Active
CL0038,Jason Stanton,patrick92,sQY^gOqN%1,smithsteven@yahoo.com,001-290-869-8883x14578,21142 Garcia Groves,South Jonathan,Illinois,53687,San Marino,21142 Garcia Groves,South Jonathan,Illinois,53687,San Marino,,866.98,1 transactions,4/23/2021,1/28/2023,Suspended
CL0039,Jeffrey Dalton,dgibson,L%27R^z@Us,tara68@chavez-hoover.com,001-610-606-6472x561,6159 Willis Knolls Apt. 620,Port Garrett,South Dakota,6159,Guinea-Bissau,2910 Clayton Village,North Lisa,Delaware,24465,Montenegro,,891.26,9 transactions,4/30/2023,6/2/2023,Inactive
CL0040,Brian Mendoza,elizabethstuart,$I^wS4QlOt,lunajudith@yahoo.com,+1-053-561-5034x67929,232 Wagner Underpass,Lowemouth,Louisiana,28428,Cambodia,273 Melinda Skyway,Simmonsfort,Wisconsin,4934,Turkmenistan,PO Box 945,854.32,1 transactions,9/1/2020,10/15/2024,Suspended
CL0041,James Reed,steven25,#@NUcrqGp7,kevinberg@hotmail.com,001-213-581-8965x9026,470 Timothy Hollow,South Sandra,Kansas,78403,Madagascar,470 Timothy Hollow,South Sandra,Kansas,78403,Madagascar,,837.15,16 transactions,5/23/2021,7/13/2023,Inactive
CL0042,Terry Wilson,wilsondenise,4D4Oaa!p_z,jpayne@gmail.com,571-048-5140,767 Holmes Landing,Williamston,Hawaii,61363,Guernsey,838 Kara Ferry Apt. 157,Madisonland,Arkansas,28402,Israel,,698.06,11 transactions,8/19/2023,10/15/2024,Active
CL0043,Kathryn Rivera,johnwatson,$S)kO2Mt8t,josephnelson@delgado.com,-6695,3789 Dylan Lodge,North Chelseaville,Washington,49421,Italy,651 Kimberly Mill,North Melanie,Kansas,68411,Djibouti,PO Box 613,530.77,13 transactions,3/8/2020,8/20/2024,Inactive
CL0044,Laura Smith,samantha76,N45nXs1*#a,kristenferrell@lowe-chan.com,654-853-5329x6415,868 Elliott Field,North Ashleyland,Montana,33593,Ecuador,868 Elliott Field,North Ashleyland,Montana,33593,Ecuador,PO Box 665,826.99,1 transactions,4/17/2021,7/5/2023,Suspended
CL0045,Brittney Howard,jenniferoliver,C*0BGcvfqm,brian38@hotmail.com,(264)373-6739x821,421 Nicholas Vista,New Katherinechester,Ohio,10941,Senegal,421 Nicholas Vista,New Katherinechester,Ohio,10941,Senegal,,725.94,16 transactions,4/18/2020,9/14/2024,Suspended
CL0046,Kara Valencia DDS,gthomas,yvd6W0lx^W,norristimothy@long-myers.biz,795-576-2516x87327,4764 James Brook,Pruittstad,Arizona,7248,Reunion,4764 James Brook,Pruittstad,Arizona,7248,Reunion,,452.94,13 transactions,5/28/2020,8/8/2023,Inactive
CL0047,Vincent Wilkins,williamslindsay,#bZKyb8vu7,zleon@yahoo.com,493.679.3547,011 Taylor Landing,South Wendyborough,Connecticut,7190,India,74804 Valdez Fork,West April,Oklahoma,1749,Slovakia (Slovak Republic),,668.82,20 transactions,5/12/2021,11/20/2024,Active
CL0048,Sydney Young,gomezjames,)00JgAroFZ,jamescarroll@robinson.com,203-315-4772,74422 Douglas Cliff,Port John,Kentucky,38332,Netherlands,9600 Crosby Valleys,Amyfurt,Indiana,6731,Equatorial Guinea,PO Box 637,828.61,15 transactions,11/2/2020,2/23/2023,Suspended
CL0049,Danielle Phillips PhD,ashleysanchez,s9yWQooh!!,huntvictoria@perry.com,262.948.7334,28032 Young Station Apt. 142,Paulfort,New York,31514,Afghanistan,28032 Young Station Apt. 142,Paulfort,New York,31514,Afghanistan,,703.73,17 transactions,4/18/2022,10/27/2024,Inactive
CL0050,Danielle Rosales,rwilliams,i_3Ts(f5+K,catherine08@elliott.org,130.111.4229x272,441 Villarreal Pine Suite 594,Coxmouth,Kentucky,91428,Luxembourg,352 Stephanie Alley,Port Denise,Montana,13414,Lesotho,PO Box 529,837.72,4 transactions,12/7/2020,8/8/2023,Active
